date,ticker_leg1,ticker_leg2,value,spread,year,delivery_date,days_to_delivery
2016-01-03,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9840002059937003,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,910
2019-01-04,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.6139999389648025,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,909
2018-01-04,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.3209991455077983,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,909
2016-01-04,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-1.0639995574950998,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,909
2017-01-03,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.337999725341799,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,909
2019-01-05,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.3819999694824006,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,908
2018-01-05,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.3030002593994006,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,908
2017-01-04,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.0989994049072003,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,908
2016-01-05,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-1.1020004272461001,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,908
2019-01-06,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.3819999694824006,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,907
2017-01-05,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.210000610351603,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,907
2016-01-06,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9189996719359996,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,907
2018-01-06,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1450004577637003,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,907
2016-01-07,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-1.013999557495099,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,906
2019-01-07,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5579999084473002,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,906
2017-01-06,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.0869991302489979,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,906
2018-01-07,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1450004577637003,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,906
2015-01-07,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.4080009460449006,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,906
2018-01-08,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.3210003967285004,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,905
2019-01-08,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.421999359130897,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,905
2016-01-08,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-1.0399997711182003,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,905
2017-01-07,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1169986724852983,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,905
